Date,spx,ukx,dax,shsz300,xau,eur,m2,usbgb090d,eur,dxy,gbp,jpy,cny
2016-12-02,7.692546838,8.814437401,9.260401157,8.168755655,7.070936489,0.06428849,9.486440633,-0.794073099,0.06428849,4.612840692,0.240826286,4.731890939,1.928618652
2016-12-09,7.722912106,8.847102511,9.323993112,8.158716626,7.056183905,0.054582878,9.485544923,-0.674835861,0.054582878,4.620945105,0.228568808,4.748057674,1.93268016
2016-12-16,7.722265745,8.855326904,9.341720327,8.115529847,7.034255763,0.044016885,9.485803091,-0.686270877,0.044016885,4.634243433,0.222583394,4.770345584,1.940394968
2016-12-23,7.724795679,8.863356885,9.345738895,8.10397813,7.033462392,0.04382548,9.486212986,-0.67613275,0.04382548,4.634826071,0.206282194,4.764905244,1.938194747
2016-12-30,7.713708687,8.873864335,9.348454,8.104727637,7.049489189,0.050693114,9.486979192,-0.681791897,0.050693114,4.62702952,0.211637611,4.762173935,1.938021976
