Date,SP500,UKX GBP,Nikkei JPY,DAX EUR,CAC 40 EUR,Brent,XAU COMPN CURNCY,DXY,USGB090Y,GBTF3MO,GETB1 Index,GJGB3M,shsz300,CPURNSA,ECCPEMUY,CNCPIYOY,ECMSM3,UKMSM41,FED M2,CNMSM2
12/31/2009,0.017770598,0.042807493,0.12849859,0.058919827,0.069611293,-0.006881611,-0.070066124,0.039810895,0.285587189,-0.067831449,-0.27012987,-0.172619048,0.018227795,-0.001761198,0.8,2.166666667,0.004415048,-0.278350515,-0.000377617,0.026267491
1/29/2010,-0.036974262,-0.041449284,-0.033034844,-0.058521879,-0.050013591,-0.083023226,-0.014677059,0.020575392,0.110726644,-0.218853363,-0.099644128,-0.09352518,-0.103901915,0.003417474,0,-0.210526316,-0.005977778,-0.2,-0.004710188,0.025211705
2/26/2010,0.028513693,0.031993709,-0.007061161,-0.001841752,-0.008199045,0.085782256,0.034001018,0.011326168,0.775389408,-0.002117149,-0.118577075,0.079365079,0.024190427,0.000249207,0,0.8,-0.002440768,-0.232142857,0.005479712,0.016724496
3/31/2010,0.058796368,0.060718795,0.095191304,0.099150481,0.071508305,0.065859002,-0.003892269,0.008847465,0.278118968,0.097595474,0.161434978,-0.007352941,0.019483982,0.004106284,0.777777778,-0.111111111,0.001051443,-0.209302326,-0.000743161,0.021813872
4/30/2010,0.014759327,-0.022246128,-0.002934191,-0.002900765,-0.039511727,0.057315599,0.059240961,0.009781308,0.079695222,-0.146585052,-0.297297297,0.022222222,-0.08316869,0.001736885,0,0.166666667,0.009309706,-0.058823529,0.003683154,0.010175745
5/31/2010,-0.081975916,-0.065701593,-0.116546385,-0.027929984,-0.081066495,-0.146271729,0.031377205,0.057679623,-0.040307712,-0.235560589,-0.120879121,-0.079710145,-0.095880497,0.000775197,0.0625,0.107142857,0.002895248,-0.28125,0.006163111,0.010342067
6/30/2010,-0.053882377,-0.052339532,-0.0395201,0.000199519,-0.018437318,0.004822505,0.021419174,-0.006571349,0.043789334,0.48691358,-0.03125,0.023622047,-0.075791668,-0.000976267,-0.117647059,-0.064516129,-0.01809411,0.304347826,0.002115821,0.015934692
7/30/2010,0.068777833,0.069383571,0.016483634,0.03058409,0.058163345,0.042261032,-0.049305695,-0.052081517,-0.078002031,0.458651611,0.432258065,-0.038461538,0.119302243,0.000211043,0.133333333,0.137931034,-0.001485438,-0.233333333,0.001119834,0.000192604
8/31/2010,-0.047449165,-0.00623809,-0.074784268,-0.036231472,-0.041818322,-0.045280123,0.056265876,0.020395148,-0.093962966,-0.125,-0.045045045,-0.056,0.011969953,0.001380664,-0.058823529,0.060606061,0.00095718,-0.217391304,0.005884204,0.019961976
9/30/2010,0.087551104,0.061892131,0.061795817,0.051272358,0.064280578,0.102759914,0.048819592,-0.053868897,-0.001291597,0.31459797,0.716981132,0.016949153,0.011153249,0.000581736,0.1875,0.028571429,-0.000386419,-0.444444444,0.003451951,0.013039287
10/29/2010,0.036855941,0.022805671,-0.017813402,0.059776658,0.031847717,0.010205321,0.039018611,-0.018470528,-0.086268543,0.312747427,0.508241758,0,0.151387976,0.001245199,0,0.222222222,0.001003779,-1.7,0.005818115,0.004745636
11/30/2010,-0.002290283,-0.025882971,0.079825481,0.013197261,-0.058187035,0.033313289,0.019589525,0.050850309,0.240196487,-0.146562123,-0.245901639,0.1,-0.071890958,0.000420646,0,0.159090909,0.001377935,0.714285714,0.00332836,0.015093815
12/31/2010,0.065300072,0.067230797,0.029372932,0.033744537,0.053827234,0.102770019,0.025071607,-0.026688836,-0.2058942,-0.300353357,-0.246376812,0.045454545,-0.002782922,0.001718441,0.157894737,-0.098039216,0.005467586,0.25,0.003797758,0.021838587
1/31/2011,0.02264559,-0.00627125,0.000879858,0.023616649,0.052754693,0.066068602,-0.061923732,-0.01636129,0.208048018,0.693939394,0.567307692,-0.115942029,-0.016542743,0.00476323,0.045454545,0.065217391,-0.001242708,0.2,0.004034096,0.011066997
2/28/2011,0.031956583,0.022355678,0.037719576,0.027529573,0.026176507,0.106821107,0.059033613,-0.010883129,-0.10209937,0.031305903,-0.104294479,0.049180328,0.052998365,0.004931365,0.043478261,0,-0.001132322,-0.111111111,0.004710235,0.003060562
3/31/2011,-0.001047302,-0.014222532,-0.0817943,-0.031765654,-0.029479241,0.049731664,0.014750475,-0.013421946,-0.306367391,0.158716392,0.710045662,-0.03125,-0.005022287,0.009751072,0.125,0.102040816,0.003247139,-0.1875,0.004914088,0.029885989
4/29/2011,0.028495358,0.027271373,0.009701592,0.067196303,0.029514838,0.072682345,0.091740557,-0.038546212,-0.57741573,0.239271457,0.078771696,0.008064516,-0.009484099,0.00643943,0.037037037,-0.018518519,0.00671734,-0.230769231,0.007048428,-0.000984395
5/31/2011,-0.013500928,-0.013164962,-0.015838997,-0.029379357,-0.024344277,-0.072761935,-0.017842297,0.023377621,0.057697421,-0.053553453,0.044554455,-0.064,-0.059873713,0.004704188,-0.035714286,0.037735849,5.18554E-05,-0.7,0.005614905,0.007954479
6/30/2011,-0.018257508,-0.007392333,0.012622592,0.011318002,-0.006171792,-0.036408807,-0.023082433,-0.00448833,-0.343891403,0.258774729,0.157582938,-0.170940171,0.014169299,-0.001070967,0,0.163636364,0.001319954,1,0.009335524,0.02280782
7/29/2011,-0.021474437,-0.021951962,0.001725738,-0.029482501,-0.07807976,0.0378734,0.085000167,-0.005464113,2.452873563,-0.229066329,-0.376663255,0.103092784,-0.023655674,0.000886046,-0.037037037,0.015625,0.000155459,0.833333333,0.020730916,-0.010113971
8/31/2011,-0.056791098,-0.072338135,-0.089273601,-0.191921238,-0.112908849,-0.016189824,0.121538443,0.002977117,-0.965157568,-0.283428321,-0.195402299,0.009345794,-0.042159027,0.002757589,-0.038461538,-0.046153846,0.004283184,-0.272727273,0.022992716,0.010257934
9/30/2011,-0.071762013,-0.049318476,-0.028465026,-0.048891501,-0.084378339,-0.105267741,-0.110503744,0.059851316,3.385350318,-0.414040991,-0.767346939,0.018518519,-0.093238677,0.001518462,0.2,-0.016129032,0.002099164,1,0.002527753,0.008393265
10/31/2011,0.107723038,0.081064955,0.033113839,0.116197324,0.087486083,0.066173608,0.055955123,-0.030387127,-0.431372549,0.285304098,0.236842105,-0.036363636,0.044147442,-0.002062683,0,-0.098360656,-0.003068677,0.6875,0.003456391,0.037366991
11/30/2011,-0.005058645,-0.006998279,-0.061610589,-0.008548623,-0.027204549,0.008762322,0.018386448,0.029120605,-0.37037037,-0.457351747,-1.936170213,0.113207547,-0.064478669,-0.000843561,0,-0.236363636,0.001210352,-0.074074074,0.00475318,0.010607726
