Date,SP500,UKX GBP,Nikkei JPY,DAX EUR,CAC 40 EUR,Brent,XAU COMPN CURNCY,DXY,shsz300,CPURNSA,ECMSM3,FED M2,CNMSM2
12/31/2010,0.063256517,0.065067254,0.028949813,0.033187683,0.052428522,0.097825213,0.024762471,-0.027051449,-0.002786802,0.001716966,0.005452693,0.003790565,0.021603541
1/31/2011,0.022392985,-0.006290997,0.000879471,0.023342091,0.051410246,0.063977678,-0.063924024,-0.016496614,-0.016681102,0.004751922,-0.001243481,0.004025981,0.011006206
2/28/2011,0.031456595,0.022109453,0.03702559,0.027157448,0.025839766,0.101492039,0.057356807,-0.010942783,0.05164168,0.004919246,-0.001132964,0.004699177,0.003055888
3/31/2011,-0.001047851,-0.014324642,-0.085333839,-0.032281128,-0.029922487,0.048534573,0.014642745,-0.013512834,-0.005034941,0.009703837,0.003241878,0.004902053,0.029448106
4/29/2011,0.028096916,0.026906135,0.009654834,0.065034932,0.02908766,0.070162376,0.087773264,-0.039308777,-0.009529359,0.006418785,0.006694879,0.007023704,-0.000984879
5/31/2011,-0.013592894,-0.013252388,-0.015965774,-0.029819574,-0.024645498,-0.075544934,-0.01800339,0.023108549,-0.061741065,0.004693157,5.19E-05,0.0055992,0.007923009
6/30/2011,-0.018426233,-0.007419792,0.012543591,0.011254433,-0.006190916,-0.037088148,-0.023353004,-0.004498433,0.014069852,-0.001071541,0.001319084,0.009292217,0.022551611
7/29/2011,-0.021708367,-0.022196492,0.001724251,-0.029925845,-0.081296566,0.037173812,0.081580141,-0.005479096,-0.023939962,0.000885653,0.000155447,0.020518955,-0.010165465
8/31/2011,-0.058467492,-0.075087982,-0.093512758,-0.213095747,-0.119807539,-0.016322311,0.114701352,0.002972694,-0.043073513,0.002753794,0.004274037,0.022732367,0.010205678
9/30/2011,-0.074467128,-0.050576158,-0.028878011,-0.050127134,-0.088152034,-0.111230757,-0.117099981,0.058128631,-0.097876013,0.00151731,0.002096964,0.002524563,0.008358237
10/31/2011,0.102306592,0.077946625,0.032577386,0.109927662,0.083868687,0.064076172,0.054445687,-0.030858387,0.043200708,-0.002064813,-0.003073395,0.003450431,0.036685763
11/30/2011,-0.005071483,-0.007022882,-0.063590266,-0.008585372,-0.027581444,0.008724156,0.018219461,0.028704656,-0.066651331,-0.000843917,0.001209621,0.004741919,0.010551858
12/30/2011,0.008496553,0.012071244,0.002455898,-0.031784937,0.001643854,-0.028822555,-0.110490266,0.022629338,-0.072260977,-0.002469563,0.009134786,0.00408671,0.031124373
1/31/2012,0.042659999,0.019430337,0.040237531,0.090787922,0.042971079,0.03297606,0.105450043,-0.01116237,0.049290642,0.004390539,-0.004180915,0.008061893,0.005046014
2/29/2012,0.039787331,0.032877198,0.099481988,0.059675277,0.045601146,0.100066295,-0.02373126,-0.006973608,0.066665193,0.004393309,0.001081007,0.003658039,0.013084389
3/30/2012,0.030851536,-0.017708427,0.036387479,0.013149591,-0.008330158,0.001791969,-0.016938477,0.003385299,-0.070470726,0.007565865,0.010497299,0.004941717,0.032218712
4/30/2012,-0.007525745,-0.005331038,-0.057418043,-0.02708653,-0.063611135,-0.028142976,-0.002160152,-0.002890102,0.067436676,0.003016475,0.000263034,0.00546569,-0.006678942
5/31/2012,-0.06469925,-0.075437432,-0.108407703,-0.076319289,-0.062876556,-0.159367803,-0.064713538,0.052750164,0.002236508,-0.001174168,0.003955171,0.003080979,0.011672564
6/29/2012,0.038792661,0.045966551,0.052896998,0.02395889,0.057837112,-0.040772914,0.023415883,-0.017198456,-0.066943604,-0.001467473,0.003795638,0.007108712,0.02733524
7/31/2012,0.012518949,0.01144534,-0.035222579,0.053996346,0.02928861,0.070273578,0.010524119,0.01227323,-0.053694906,-0.001631115,0.003003499,0.007507392,-0.006419323
8/31/2012,0.019570602,0.013431349,0.016521647,0.028893704,0.036220183,0.087987835,0.047015745,-0.017419555,-0.056452152,0.00554973,-0.002537127,0.007223763,0.006314885
9/28/2012,0.023947057,0.005341588,0.003416139,0.034593008,-0.017214062,-0.019211024,0.046248113,-0.01579996,0.039240425,0.004452286,0.001292873,0.008154456,0.020116666
10/31/2012,-0.019987836,0.007050929,0.006532053,0.006145032,0.021949293,-0.033383171,-0.029463158,-0.000200183,-0.016838828,-0.000389001,0.005610825,0.006011493,-0.007749123
11/30/2012,0.002842659,0.014442048,0.056367543,0.019756365,0.036648797,0.023008335,-0.003405671,0.002923686,-0.052423209,-0.004749347,0.000479446,0.005810603,0.00896023
12/31/2012,0.007043447,0.005268346,0.095749807,0.027554216,0.023281387,-0.001079428,-0.023274357,-0.00480235,0.164781914,-0.002696697,0.004960197,0.012010042,0.030556507
1/31/2013,0.049197761,0.062291946,0.069079703,0.021271314,0.024827447,0.039182635,-0.007008115,-0.007070279,0.062951817,0.00295294,-0.006196996,0.002356097,0.018289377
2/28/2013,0.010999882,0.013282686,0.037073558,-0.004427195,-0.002575247,-0.036755559,-0.051854995,0.034032424,-0.005055783,0.008156673,0.000723215,-0.001340188,0.006501658
3/29/2013,0.035355367,0.007974957,0.070032412,0.006900969,0.002259063,-0.012285611,0.012063085,0.012454307,-0.069004094,0.002611097,0.004995994,0.00752956,0.036630635
4/30/2013,0.017924162,0.002862516,0.111541131,0.015074428,0.033036002,-0.072068467,-0.079378347,-0.01493453,-0.019331331,-0.00104018,0.005019167,0.00342627,-0.003197144
